Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2021-01-29 22:24:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6761046400156413952,"MIjn college-reeks voor de huidige Discover groep bij Jheronimus Academy of Data Science zit er weer op. Enorm genoten van de discussies over interpretable machine learning, hoe je tijdreeksanalyses in de praktijk kunt brengen en interactieve data visualisatie.""
""""
""Met plezier heb ik nieuwe notebooks en voorbeelden uitgewerkt, om in deze corona-tijden de stof behapbaar en interactief te maken. En gaandeweg blijf ik zelf ook leren en ontdekken, zoals dit voorbeeld wat je met Altair kunt doen.""
""""
""Op naar de volgende lichting!""
""""
""https://lnkd.in/ecAnyJP",,,MEMBER_NETWORK
2021-01-25 14:08:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6759471936616599552,"Ook ik heb soms mijn vraagtekens bij het beleid t.a.v. corona. Desondanks accepteer ik de maatregelen die we in Nederland met elkaar afspreken, met het vertrouwen in goed bestuur en democratische principes. Wat in Eindhoven is gebeurd en in andere steden moet stoppen.",,,MEMBER_NETWORK
2021-01-23 22:11:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6758868852601315329,"Compassion, even (especially?!) for the person who killed your son ...",,,MEMBER_NETWORK
2021-01-23 22:05:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6758867148178780160,"Ik kende ze nog niet, maar ga gelijk inschrijven. Gerse startup uit Rotterdam, dan!",,,MEMBER_NETWORK
2021-01-22 06:43:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6758272916363730944,Van Vleuten in warm bad bij Movistar: 'Pontificaal op de foto naast Valverde' - https://nos.nl/l/2365445 Ik word wel heel blij van de energie en emancipatie die hier vanaf straalt!,,,MEMBER_NETWORK
2021-01-18 18:26:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6757000132580925440,Ik begeef mij in goed gezelschap met het idee dat hisartsenzorg een belangrijke sleutel is voor  fundamentele verandering (verbetering) van ons zorgstelsel.,,,MEMBER_NETWORK
2021-01-14 19:38:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6755568730274594816,"EU geeft groen licht voor meelwormcurry en -pasta - https://nos.nl/l/2364258 Mijn vrouw zegt dat ik een foodie ben (ik denk dat het wel meevalt ...) en laatst had ik krekelburgers klaargemaakt van Rotterdamse bodem. Er was nog net geen staking aan de eettafel. En nu dus meelwormen officieel goedgekeurd als voedsel. Goede ontwikkeling me dunkt, maar het zal nog wel even duren voordat meelwormen herkenbaar als ingrediënt in onze wok zit ... 😄",https://nos.nl/artikel/2364258-eu-geeft-groen-licht-voor-meelwormcurry-en-pasta.html,https://cdn.nos.nl/image/2021/01/13/706704/xxl.jpg,MEMBER_NETWORK
2021-01-12 14:30:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6754766459638956032,"Sinds de eerste lockdown hebben een aantal gelijkgezinde specialisten zich verenigd in een coöperatie de dataverbinders. Deze samenwerking begint steeds vastere vormen aan te krijgen, waaronder in ons project met Wielinq. Komende tijd zullen we meer van ons laten horen!",,,MEMBER_NETWORK
2021-01-06 07:39:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6752488629278400512,This made my day!,,,MEMBER_NETWORK
2020-12-29 23:15:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6749825206207963136,"Here's a good to start the New Year with your loved ones, in the comfort of your corona-proof homes. Have a great gig, Bram!",,,MEMBER_NETWORK
2020-12-28 14:42:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6749333595141234688,Leuke en inhoudelijk uitdagende vacatures bij 'mijn' gemeente. Kom jij het team van Rotterdam versterken om meer data gedreven te werken?,,,MEMBER_NETWORK
2020-12-20 21:23:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6746535491560071168,https://lnkd.in/dCt9yNh Fascinating piece of science. It even made the astromers cry when they saw the results ... 😀,,,MEMBER_NETWORK
2020-12-16 11:53:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6744942470674583552,"Voor diegenen die nog zoeken naar een kado voor onder de kerstboom: het nieuwe boek van Remy Gieling over groeikansen van AI is uit. Toegankelijk geschreven met veel voorbeelden uit de praktijk. Voor het eerst dat ik in het register van een boek sta, naast andere collega's van Jheronimus Academy of Data Science als Daan Kolkman, Emile Aarts en Peter de Kock PhD. #aiforall #opendata ",,,MEMBER_NETWORK
2020-12-15 09:14:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6744540149910122496,https://lnkd.in/d_KpAXj Physics meets neural nets. Love it!,,,MEMBER_NETWORK
2020-12-14 18:27:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6744316770384924673,https://lnkd.in/dBTWVKB Een genuanceerd overzichtsartikel over de stand van informatieuitwisseling in de zorg. Het doet mij denken aan mijn tijd in de telecomsector: na een lange aanloop en vele overleggen is standaardisatie uiteindelijk gemeengoed geworden. Het is ondenkbaar hoe de wereld eruit had gezien zonder deze standaardisatie. Ik hoop dat we over een aantal jaar hetzelfde kunnen zeggen over de zorg.,,,MEMBER_NETWORK
2020-12-09 21:39:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6742553322676355072,"https://lnkd.in/dEcFe6y It is that time of year to reflect and reminisce. Reading this lovely article on the history of Unix and C made me smile and realize how far we have come with digital technologies. Kudos to all the C programmers out there, without whom CPython would never have existed!",https://arstechnica.com/features/2020/12/a-damn-stupid-thing-to-do-the-origins-of-c/,https://cdn.arstechnica.net/wp-content/uploads/2020/12/ArsCIMG-1-760x380.jpeg,MEMBER_NETWORK
2020-12-09 18:59:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6742512904475561984,"https://lnkd.in/dXyPEVf Mooie reflecties in de nieuwsbrief van de Personal Health Care Catalyst. Ik hoop dat we in 2021 stappen kunnen zetten om routinezorgdata te gebruiken voor het trainen van algoritmes, om daarmee meer gepersonaliseerde behandeladviezen mogelijk te maken.",https://www.phc-magazine.nl/magazine4/cover/,https://s3.eu-west-2.amazonaws.com/screenshots-1d5fh4/153594/Nn5G5S085QcvMESq42_fb.png,MEMBER_NETWORK
2020-12-07 09:11:05,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6741640150050201600,"Leuk dat mijn projectje in de nieuwbrief wordt genoemd als item 5 voor de geeks. Hoor graag als je wilt helpen om de Tree of Machine Learning Algorithms verder aan te vullen met goede open source / creative commons content!""
""https://lnkd.in/dzFbUgd""
""#machinelearning #datascience #python #algorithms #opensource ",,,MEMBER_NETWORK
2020-12-04 11:37:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6740589810345373696,"https://lnkd.in/dqqmSMQ Data donorschap, data solidariteit, data commons. Ik heb het gevoel dat het debat wat los begint te komen. Het Rathenau Instituut heeft hierover net een studie gepubliceerd. Vorige week in de krant de oproep van de Europese commissie om hier echt werk van te maken. 2021 als het jaar om van denken naar doen te gaan op dit dossier?",https://www.rathenau.nl/nl/maakbare-levens/datasolidariteit-voor-gezondheid,https://www.rathenau.nl/sites/default/files/styles/og_image/public/2020-12/datasolidariteit_voor_gezondheid_Rathenau_instituut.jpg?itok=RZqmWTMC,MEMBER_NETWORK
2020-12-02 21:49:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6740018986483777536,"A classic video I bumped into whilst preparing my lectures for Jheronimus Academy of Data Science. Apparently it inspired the development of reinforcement learning. Really sweet and fascinating to see how young toddlers learn (and the difference between each of them!). https://lnkd.in/dbXC4Hg""
""",https://youtu.be/k-rWB1jOt9s,https://i.ytimg.com/vi/k-rWB1jOt9s/hqdefault.jpg,MEMBER_NETWORK
2020-12-02 21:49:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6740018986483777536,"A classic video I bumped into whilst preparing my lectures for Jheronimus Academy of Data Science. Apparently it inspired the development of reinforcement learning. Really sweet and fascinating to see how young toddlers learn (and the difference between each of them!). https://lnkd.in/dbXC4Hg""
""",https://youtu.be/k-rWB1jOt9s,https://i.ytimg.com/vi/k-rWB1jOt9s/hqdefault.jpg,MEMBER_NETWORK
2020-11-27 17:17:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6738138707464863744,"Rotterdam wil van 50 naar 30 kilometer per uur, 'niet eenvoudig te realiseren' - https://nos.nl/l/2358293 Als Rotterdammer ben ik blij dat deze motie is aangenomen. Het zal de leefbaarheid in de binnenstad denk ik ten goede komen. Als data scientist ben ik benieuwd of het verkeersveiligheid model dat in samenwerking met Dokdata is ontwikkeld een doorslaggevende rol heeft gehad in de besluitvorming. Dat zou een mooie bekroning op het werk zijn.",,,MEMBER_NETWORK
2020-11-23 21:11:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6736747984446398465,"https://lnkd.in/ex_TGjA A lovely, heart-warming story. With little pockets of wisdom about the importance of randomness and how we should re-learn how to play.""
""""
""""And, personally, I think we've got the concept of education a wee bit wrong. I mean, I think we should leave children to think and do things for themselves a great deal more than we do now.""",,,MEMBER_NETWORK
2020-11-18 08:21:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6734742228364750848,"Digitisation and its discontents. Despite the numerous good intentions to apply 'AI for good', it seems to me that the scales are tipped the other way. Let's not fall in the same trap that 'this only happens in China' again ...""
""https://lnkd.in/dZNDZmz",,,MEMBER_NETWORK
2020-11-17 11:00:01,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6734419807820644353,"Move over machine learning, here comes magpie learning ... ! Love it.",,,MEMBER_NETWORK
2020-11-12 18:07:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6732715466680242176,https://lnkd.in/dkbrRCS,,,MEMBER_NETWORK
2020-11-11 06:03:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6732170777929506817,Precious human body and mind. Beautiful ...,,,MEMBER_NETWORK
2020-11-10 21:47:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6732045970609053696,"We probably don't want to hear it, but we need to seriously consider it nonetheless.",,,MEMBER_NETWORK
2020-10-30 19:49:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6728029984935444480,"I was reminded of the truth of impermanence today because the mother of one of the class mates of our youngest son passed away.""
""""
""And then this photo popped up on LinkedIn, and it reminded me of the preciousness of human body, the truth of suffering, and the inescapeable laws of cause and effect, too. #modernbuddhism",,,MEMBER_NETWORK
2020-10-29 14:00:57,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6727579972283731968,"Mooi verslag van het debat bij de Waag over het data donorcodicil. Voldoende aanknopingspunten voor een vervolg denk ik, toch?""
""https://lnkd.in/dH_c5pi #data4good ",,,MEMBER_NETWORK
2020-10-19 19:58:38,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6724046107824922624,"Beautiful, just beautiful. Same feeling of bewilderment like the first time I visited the London Observatory as a kid and decided I had to study astronomy!",,,MEMBER_NETWORK
2020-10-13 18:50:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6721854654507954177,"Het idee van data-donorschap dwaalt al jaren in mijn hoofd. In de afgelopen maanden ben ik hierover in gesprek geraakt met Zorginstituut Nederland en Personal Health Care Catalyst.""
""""
""Alle goede dingen komen in drieen: a.s. dinsdag 20 oktober ga ik om 11:30 samen met Egge van der Poel, Socrates Schouten en Manon Hillegers het idee van een 'donorcodicil voor data' verkennen. Een open gesprek als onderdeel van de Dutch Design Week, gemodereerd door Paulien Melis. Ben benieuwd of we een steen in de vijver kunnen gooien voor een burger-gedreven data commons!""
""""
""Interesse? Meld je aan en discussieer mee!",https://waag.org/en/event/waag-talks-ddw-donor-codicil-your-data,https://waag.org/sites/waag/files/2020-10/ddw_waag_talk_-_datacommons_embassy_of_health.jpg,MEMBER_NETWORK
2020-10-09 18:22:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6720398090332860416,"Ik lees steeds meer verhalen van experts dat we serieus moeten nadenken over de mogelijke negatieve gevolgen van vals positieven bij het huidige testbeleid. Zo ook dit artikel in the Lancet. Als we ons te veel laten leiden door vals positieven, dan zijn we nog verder van huis.""
""""
""Hoe dit zich verhoudt tot de 'echte' corona gevallen, zijnde de ziekenhuisopnamen en stijgende gevallen op de SEH begrijp ik niet. Frustrerend dat het zo lastig blijkt om de cijfers van de pyramide rond te rekenen. Stichting Corona in Kaart Jochen Mierau Egge van der Poel Joop Arends Dennis Diederix",https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30453-7/fulltext?,https://els-jbs-prod-cdn.jbs.elsevierhealth.com/cms/asset/33b492a0-a64e-4705-a0f7-5f8a26e11a17/fx1.jpg,MEMBER_NETWORK
